#Table1
ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
UGC00679,1237680311772250464,16.765004957392,32.3895546744412,8111,301,5,174,GALAXY,17.47009,16.29194,15.80517,15.55366,15.38916
2MASXJ01071026+3220485,1237680315521237319,16.7928263185929,32.3468723056419,8112,301,4,35,GALAXY,18.8348,17.02965,16.28358,15.90385,15.59645
2MASXJ01064452+3225074,1237680311772250198,16.6854659631954,32.4185860598838,8111,301,5,174,GALAXY,18.69388,17.03171,16.25852,15.88058,15.60824
LCSBS0169O,1237680315521302864,16.966691448653,32.2561078945563,8112,301,4,36,GALAXY,18.17839,16.57261,15.77085,15.3893,15.11633
2MASXJ01081590+3229567,1237680311772381486,17.0661494753464,32.4990110284597,8111,301,5,176,GALAXY,18.65191,16.9128,16.1212,15.70821,15.44201
2MASXJ01065374+3234434,1237680311772250409,16.7241212647556,32.5786091309391,8111,301,5,174,GALAXY,18.18247,16.52789,15.77591,15.40813,15.12873
IVZw038NOTES14,1237680311772381573,17.1083480036514,32.4312371628883,8111,301,5,176,GALAXY,18.77098,17.03728,16.26269,15.86688,15.64154
IVZw038NOTES03,1237680316058107970,16.7378071292641,32.6224405101485,8112,301,5,35,GALAXY,18.65815,16.58489,15.63116,15.16605,14.80291
2MASXiJ0108226+323258,1237680311772381519,17.0942212863752,32.5496850943781,8111,301,5,176,GALAXY,18.31455,16.71249,15.94357,15.58528,15.34251
IVZw038NOTES07,1237680315521237340,16.7980312891218,32.1703931515781,8112,301,4,35,GALAXY,18.90664,17.13418,16.34016,15.94039,15.7109
LCSBS0171P,1237680315521368099,17.078338814367,32.2267953703117,8112,301,4,37,GALAXY,18.62858,16.78881,15.98687,15.64716,15.38159
2MASXJ01085516+3219316,1237680315521433819,17.230088581956,32.3252904946095,8112,301,4,38,GALAXY,18.22066,16.78588,16.07589,15.73431,15.45573
2MASXJ01085889+3214257,1237680315521433651,17.2457321690524,32.2404447039716,8112,301,4,38,GALAXY,17.68089,16.1789,15.70013,15.33036,15.4295
IVZw038NOTES15,1237680316058304809,17.3222786138138,32.6113067616818,8112,301,5,38,GALAXY,19.587,17.45313,16.42761,16.01889,15.68271
WHLJ010942.8+321639,1237680315521499274,17.428386144914,32.2774815058463,8112,301,4,39,GALAXY,19.34571,17.39365,16.29417,15.80109,15.39152
2MASXJ01094280+3216390,1237680315521499274,17.428386144914,32.2774815058463,8112,301,4,39,GALAXY,19.34571,17.39365,16.29417,15.80109,15.39152
2MASXJ01094004+3213539,1237680315521499270,17.416991442906,32.2316976065501,8112,301,4,39,GALAXY,19.35953,17.42698,16.36011,15.90052,15.52766
CGCG501-105,1237680316058304582,17.335132699151,32.7228557543673,8112,301,5,38,GALAXY,17.69818,25.21887,16.13502,15.39922,14.75525
2MASSJ01092333+3244115,1237680316058304581,17.3471554501587,32.7365447788026,8112,301,5,38,STAR,19.89136,17.384,16.46429,16.16318,16.00427
2MASXJ01094398+3237039,1237680316058370301,17.4331918415323,32.6178317227043,8112,301,5,39,GALAXY,17.98782,16.27768,15.51748,15.1342,14.87811
WHLJ010535.2+324750,1237680316057976960,16.3965320675511,32.797349716749,8112,301,5,33,GALAXY,18.96333,17.23725,16.21395,15.76954,15.37994
2MASXJ01053516+3247506,1237680316057976960,16.3965320675511,32.797349716749,8112,301,5,33,GALAXY,18.96333,17.23725,16.21395,15.76954,15.37994
2MASXJ01050271+3238584,1237680316057911397,16.2611984909814,32.6496824101797,8112,301,5,32,GALAXY,19.42499,17.37015,16.33075,15.88669,15.52077
2MASXJ01092636+3246168,1237680312309317964,17.3599333822855,32.7712466797401,8111,301,6,177,GALAXY,18.24411,16.60843,15.80166,15.40729,15.12828
2MASXJ01074714+3150562,1237680314984431936,16.9464996150602,31.8490141482499,8112,301,3,36,GALAXY,19.50676,17.28694,16.16514,15.68937,15.27831
2MASXiJ0109481+324211,1237680316058370081,17.4511621878046,32.7031893057073,8112,301,5,39,GALAXY,18.43596,16.70022,15.95185,15.58249,15.32964
